chapter_figure,content,status,output,thesis_section,paper_section,plotting_function,input_artifacts,legacy_source,notes
5.1,GLE-NECK delta-learning framework,missing schematic asset,,5.1 Motivation and Chapter Overview,Introduction / Method overview,,,PPT/chapter draft only,Standalone method schematic still needs to be drawn.
5.2,Neural corrective-kernel architecture with asymptotic gating,missing schematic asset,,5.6 Asymptotic Constraints and Neural Corrective Kernel,Methods,,,PPT/chapter draft only,Standalone architecture schematic still needs to be drawn.
5.3,Bulk differentiable transport-targeted training workflow,missing schematic asset,,5.7 Differentiable GLE Integrator and 5.8 Bulk Transport,Methods / Bulk results,,,PPT/chapter draft only,Workflow schematic still needs a standalone thesis-quality asset.
5.4,Bulk single-force corrective-kernel training,artifact-backed,figures/chapter5/ch5_fig04_bulk_single_force_training.png,5.8.1 Single-force training,Bulk results,plot_bulk_single_force_training,data/processed/bulk/asym_SPT_kernel_evolutionE0p1027V0p1729.csv; data/processed/bulk/asym_SPT_training_loss_E0p1027V0p1729.csv,code/Bulk/clean_bulk_system.ipynb exports E0p1027V0p1729 artifacts; code/Bulk/figures.ipynb cell 4 plotting pattern,
5.5,Bulk multi-force learned kernels,artifact-backed,figures/chapter5/ch5_fig05_bulk_multifield_kernels.png,5.8.2 Multi-force training,Bulk results,plot_bulk_multifield_kernels,data/processed/bulk/asym_MPT_kernel_evolution_900epochs.npz; data/processed/bulk/fitted_memory_kernal.npy,code/Bulk/clean_bulk_system.ipynb cells 173-178,Derived NPZ is normalized from the legacy 0-700 and 700-900 epoch JAX-array pickle snapshots.
5.6,Bulk mobility response,artifact-backed,figures/chapter5/ch5_fig06_bulk_mobility_response.png,5.8.3 Mobility response,Bulk results,plot_bulk_mobility,data/processed/bulk/AA_mobility_data.csv; data/processed/bulk/GLE_mobility_data.csv; data/processed/bulk/asym_MPT_GLENECK_mobility_data_900Epoch_E0p0347_0p06883_0p1027.csv; data/processed/bulk/SPT_GLENECK_mobility_dataE0p0347V0p11145.csv; data/processed/bulk/SPT_GLENECK_mobility_dataE0p1027V0p1729.csv,code/Bulk/clean_bulk_system.ipynb cells 180-181; code/Bulk/figures.ipynb cell 6,
5.7,Bulk zero-field corrective-kernel behavior,artifact-backed,figures/chapter5/ch5_fig07_bulk_corrective_kernels.png,5.8.4 Approach to equilibrium limit,Bulk results,plot_bulk_corrective_kernels,data/processed/bulk/asym_MPT_900epoch_kernel_corrections_vs_field.csv,code/Bulk/clean_bulk_system.ipynb cell 177; code/Bulk/figures.ipynb cell 7,
5.8,Confined differentiable transport-targeted training workflow,missing schematic asset,,5.9 Confined Transport,Methods / Confinement results,,,PPT/chapter draft only,Workflow schematic still needs a standalone thesis-quality asset.
5.9,Confined plug-like velocity profile,artifact-backed,figures/chapter5/ch5_fig09_confinement_semiplug_profile.png,5.9.3 Plug-like and parabolic flow profiles,Confinement results,plot_confinement_profile,data/processed/confinement/epoch0_160_E150_parabolic_semiplug_profile_evolution.csv; data/processed/confinement/epoch0_160_E150_semiplug_training_loss.csv,code/Confinement/clean_confined_system.ipynb cells 139-143; figures/Bulk_confinement figure3 pattern,
5.10,Confined parabolic velocity profile,artifact-backed,figures/chapter5/ch5_fig10_confinement_parabolic_profile.png,5.9.3 Plug-like and parabolic flow profiles,Confinement results,plot_confinement_profile,data/processed/confinement/epoch0_200_E150_parabolic_velocity_profile_evolution.csv; data/processed/confinement/epoch0_200_E150_parabolic_training_loss.csv,code/Confinement/clean_confined_system.ipynb cells 139-143; code/Confinement/conf_figures.ipynb cell 3,
5.11,Position-dependent corrective kernels in confinement,artifact-backed,figures/chapter5/ch5_fig11_confinement_kernels.png,5.9.4 Position dependence of learned kernel,Confinement results,plot_confinement_kernels,data/processed/confinement/E_150_semiplug_epoch0_160_learnt_kernel.csv; data/processed/confinement/E_150_parabolic_epoch0_200_learnt_kernel.csv,code/Confinement/clean_confined_system.ipynb cells 147-148; code/Confinement/conf_figures.ipynb cell 4,
support-bulk,"Bulk RDF, memory, and VACF equilibrium validation",artifact-backed support figure,figures/chapter5/ch5_support_bulk_equilibrium_validation.png,5.3 Constructing the Equilibrium GLE Baseline,Methods / Validation,plot_bulk_equilibrium_validation,data/processed/bulk/AA_rdf_plot_data.csv; data/processed/bulk/CG_rdf_plot_data.csv; data/processed/bulk/raw_memory_kernal.npy; data/processed/bulk/fitted_memory_kernal.npy; data/processed/bulk/vacf_data_aa_cg_gle.csv,code/Bulk/figures.ipynb cells 1-3,
support-bulk-friction,Bulk friction-force distributions across field,artifact-backed support figure,figures/chapter5/ch5_support_bulk_friction_distributions.png,5.8.5 Discussion,Supplementary / Discussion,plot_bulk_friction_distributions,data/processed/bulk/rerun_friction_forcevsfield_dist.csv,code/Bulk/figures.ipynb later analysis cells,
support-confinement,"Confined RDF, density, potential, and VACF validation",artifact-backed support figure,figures/chapter5/ch5_support_confinement_equilibrium_validation.png,5.9.1 Confined equilibrium baseline,Methods / Validation,plot_confinement_equilibrium_validation,data/processed/confinement/allatom_rdf_smooth_AA_CC_AC.csv; data/processed/confinement/CG_rdf_data.csv; data/processed/confinement/density_AA_IBICG_data.csv; data/processed/confinement/allatom_boltzpotentials_AA_CC_AC.csv; data/processed/confinement/vacf_comparison_AA_GLE_IBI_.csv,code/Confinement/conf_figures.ipynb validation cells,CG RDF artifact contains A-A and C-C columns; the all-atom A-C curve is shown without a CG A-C counterpart.
